Name,Year,Draft Team,Pick,Team,Position,Height,Wingspan,Weight,Draft Age,Birthdate,Nation,G,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,BLK,STL,TO,PF,PTS,TS%,eFG%,3PAr,FTAr,USG%,AST/USG,AST/TO,PER,OWS/40,DWS/40,WS/40,OBPM,DBPM,BPM
Andre Roberson,2013,OKC,26,Colorado,SG/SF,79.0,83.0,206,21.53,"Dec 4, 1991",,31.0,33.4,4.6,9.6,0.48,0.7,2.0,0.328,1.9,3.4,0.551,12.1,1.5,1.4,2.3,2.6,2.7,11.7,0.524,0.515,0.211,0.356,19.9,0.47,0.59,21.9,0.054,0.112,0.166,3.3,4.8,8.1
Rudy Gobert,2013,UTA,27,Cholet Basket (France),C,86.0,92.5,238,20.98,"Jun 26, 1992",France,30.0,21.4,5.3,7.3,0.725,0.0,0.2,0.0,3.0,4.3,0.697,8.5,0.6,3.0,1.1,2.3,3.5,13.6,0.727,0.725,0.023,0.58,,,0.27,,,,,,,
Livio Jean-Charles,2013,SA,28,ASVEL Basket (France),SF/PF,81.0,,220,19.61,"Nov 8, 1993",France,24.0,14.5,3.5,6.4,0.548,0.5,1.3,0.385,0.9,1.6,0.6,6.7,1.2,0.6,1.2,1.7,3.0,8.5,0.593,0.589,0.21,0.242,,,0.75,,,,,,,
Archie Goodwin,2013,PHX,29,Kentucky,SG,77.25,81.5,189,18.83,"Aug 17, 1994",,33.0,31.8,5.4,12.3,0.44,0.6,2.2,0.266,4.6,7.3,0.637,5.2,3.0,0.5,1.2,3.5,3.3,16.0,0.509,0.464,0.179,0.594,27.2,0.62,0.87,16.9,0.061,0.057,0.118,1.0,1.1,2.1
Nemanja Nedović,2013,GS,30,Lietuvos Rytas (Lithuania),PG,75.0,,190,22.0,"Jun 16, 1991",Serbia,10.0,23.2,5.6,15.2,0.367,1.9,5.4,0.343,2.2,3.1,0.7,3.9,3.3,0.3,1.2,3.9,2.9,15.2,0.456,0.429,0.357,0.204,,,0.84,,,,,,,
Allen Crabbe,2013,POR,31,California,SG,78.25,83.25,197,21.19,"Apr 9, 1992",,33.0,36.2,6.5,14.1,0.459,1.9,5.5,0.348,3.4,4.2,0.813,6.0,2.6,0.7,1.1,2.5,2.1,18.3,0.568,0.528,0.393,0.297,26.6,0.61,1.05,22.3,0.11,0.06,0.171,6.0,2.4,8.4
Alex Abrines,2013,OKC,32,Barcelona (Spain),SG/SF,78.0,,190,19.88,"Aug 1, 1993",Spain,45.0,11.0,4.6,11.0,0.414,2.0,6.4,0.307,2.1,2.6,0.806,3.4,0.8,0.6,1.1,1.9,4.2,13.2,0.538,0.503,0.579,0.237,,,0.42,,,,,,,
Carrick Felix,2013,CLE,33,Arizona State,SG/SF,78.25,81.25,203,22.83,"Aug 17, 1990",,35.0,35.3,5.5,11.0,0.5,1.5,4.1,0.374,2.4,3.6,0.664,8.3,1.7,1.1,1.5,2.0,3.1,14.9,0.586,0.569,0.368,0.323,21.3,0.45,0.81,21.5,0.097,0.068,0.165,3.7,2.3,6.0
Isaiah Canaan,2013,HOU,34,Murray State,PG,72.0,76.5,188,22.07,"May 21, 1991",,31.0,36.5,6.8,15.9,0.431,3.0,8.1,0.37,4.8,5.9,0.822,3.5,4.2,0.1,1.5,3.1,1.8,21.5,0.576,0.525,0.509,0.371,30.9,0.89,1.36,25.2,0.159,0.046,0.209,5.8,0.0,5.8
Glen Rice Jr.,2013,WAS,35,Georgia Tech,SG/SF,77.75,81.25,211,22.46,"Jan 1, 1991",,21.0,29.9,5.8,12.8,0.457,1.7,5.2,0.333,2.3,3.8,0.606,8.1,2.8,1.0,1.6,2.8,2.9,15.7,0.539,0.525,0.404,0.296,25.9,0.74,1.0,23.0,0.083,0.07,0.153,5.3,2.8,8.0
Ray McCallum Jr.,2013,SAC,36,Detroit Mercy,PG,73.75,75.25,191,22.01,"Jun 12, 1991",,33.0,36.6,6.4,13.0,0.491,1.3,3.9,0.323,4.4,6.1,0.717,5.0,4.4,0.6,1.9,2.0,2.0,18.4,0.578,0.539,0.298,0.47,24.4,0.98,2.16,25.7,0.156,0.043,0.199,6.3,1.1,7.3
Tony Mitchell,2013,DET,37,North Texas,PF,80.75,86.5,236,21.19,"Apr 7, 1992",,32.0,32.4,4.9,11.0,0.44,1.0,3.5,0.3,3.7,5.5,0.675,9.5,0.9,3.0,1.1,2.7,3.2,14.4,0.53,0.487,0.314,0.494,22.7,0.25,0.33,20.8,0.062,0.069,0.127,1.0,1.2,2.2
Nate Wolters,2013,MIL,38,South Dakota State,PG,76.75,75.75,196,22.09,"May 15, 1991",,33.0,38.1,6.9,14.3,0.485,1.8,4.8,0.379,5.4,6.6,0.813,5.3,5.5,0.1,1.6,2.2,1.5,21.1,0.604,0.549,0.339,0.461,29.8,1.15,2.51,32.0,0.223,0.051,0.271,8.3,1.3,9.6
Jeff Withey,2013,POR,39,Kansas,C,84.5,86.0,222,23.28,"Mar 7, 1990",,37.0,30.9,5.8,10.0,0.582,0.0,0.0,1.0,4.3,6.0,0.714,9.9,1.1,4.6,0.9,2.3,2.4,16.0,0.621,0.583,0.003,0.604,21.5,0.29,0.48,27.2,0.119,0.112,0.231,4.9,6.6,11.5
Grant Jerrett,2013,OKC,40,Arizona,PF,82.25,86.0,232,19.94,"Jul 8, 1993",,34.0,17.8,3.7,9.1,0.409,1.9,4.7,0.405,1.1,1.3,0.818,7.2,1.1,2.0,1.0,1.1,2.6,10.5,0.535,0.513,0.513,0.143,15.6,0.37,0.95,16.6,0.079,0.073,0.152,3.5,3.2,6.6
Jamaal Franklin,2013,MEM,41,San Diego State,SG,77.25,83.25,191,21.91,"Jul 21, 1991",,32.0,33.1,5.6,13.6,0.411,1.4,5.0,0.272,5.8,7.5,0.781,10.3,3.6,0.9,1.7,3.7,2.8,18.4,0.536,0.461,0.367,0.546,29.9,0.72,0.95,24.8,0.095,0.106,0.2,4.2,4.3,8.5
Pierre Jackson,2013,NO,42,Baylor,PG,70.5,70.0,176,21.8,"Aug 29, 1991",,36.0,34.8,6.2,14.5,0.427,2.5,7.0,0.359,5.5,6.9,0.8,3.9,7.3,0.0,1.6,3.5,2.3,20.5,0.574,0.514,0.484,0.474,29.5,1.38,2.09,26.0,0.169,0.051,0.224,8.5,2.0,10.5
Ricky Ledo,2013,DAL,43,Providence,SG,78.0,79.25,197,20.77,"Sep 10, 1992",USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Muscala,2013,ATL,44,Bucknell,C,83.5,85.0,230,21.96,"Jul 1, 1991",,34.0,31.7,7.6,14.9,0.509,0.1,0.5,0.25,6.0,7.6,0.789,12.6,2.6,2.7,0.6,1.9,2.5,21.3,0.575,0.513,0.036,0.509,31.6,0.59,1.34,35.7,0.196,0.111,0.308,8.6,3.9,12.5
Marko Todorović,2013,POR,45,Barcelona (Spain),PF/C,83.0,,240,21.16,"Apr 19, 1992",Montenegro,42.0,7.2,4.8,8.9,0.533,0.4,1.5,0.231,3.0,5.2,0.568,10.1,1.4,2.0,1.1,3.1,4.8,12.9,0.563,0.553,0.173,0.587,,,0.46,,,,,,,
Erick Green,2013,DEN,46,Virginia Tech,PG,75.0,77.75,178,22.11,"May 9, 1991",USA,32.0,36.4,8.1,17.0,0.475,1.9,4.8,0.389,6.7,8.2,0.816,3.9,3.7,0.2,1.3,2.1,1.4,24.7,0.592,0.53,0.285,0.485,32.4,0.83,1.75,31.6,0.213,0.01,0.223,10.1,1.3,11.4
Raul Neto,2013,UTA,47,Gipuzkoa Basket (Spain),PG,74.0,,172,21.08,"May 19, 1992",Brazil,34.0,24.5,4.5,9.8,0.461,1.0,2.5,0.39,2.5,3.1,0.792,3.5,4.3,0.1,1.5,2.6,3.7,12.5,0.553,0.511,0.259,0.316,,,1.62,,,,,,,
Ryan Kelly,2013,LAL,48,Duke,PF,83.75,83.5,228,22.19,"Apr 9, 1991",,23.0,28.9,5.2,11.5,0.453,1.9,4.5,0.422,3.7,4.6,0.812,6.6,2.1,2.0,0.9,1.2,3.0,16.0,0.586,0.535,0.392,0.401,21.4,0.51,1.65,23.5,0.145,0.066,0.211,7.2,4.0,11.1
Erik Murphy,2013,CHI,49,Florida,PF,81.5,82.5,240,22.64,"Oct 26, 1990",,36.0,26.4,6.2,12.0,0.516,2.7,6.0,0.453,1.5,1.9,0.784,7.5,1.9,0.9,0.9,1.9,3.8,16.6,0.643,0.629,0.5,0.16,22.5,0.49,0.98,24.4,0.151,0.101,0.252,7.3,4.3,11.6
James Ennis,2013,MIA,50,Long Beach State,SF,79.0,83.5,201,22.96,"Jul 1, 1990",,33.0,33.1,6.0,12.2,0.491,1.8,5.1,0.357,4.2,5.0,0.834,7.3,2.3,1.4,1.9,3.3,2.5,18.0,0.616,0.565,0.415,0.407,24.9,0.58,0.71,25.3,0.124,0.051,0.172,5.7,1.4,7.1
Romero Osby,2013,ORL,51,Oklahoma,PF,80.0,,232,23.11,"May 7, 1990",USA,32.0,28.5,6.9,13.1,0.526,0.4,0.7,0.529,6.1,7.7,0.794,8.9,1.6,1.1,0.8,1.7,3.1,20.2,0.604,0.539,0.051,0.586,26.0,0.39,0.95,28.9,0.184,0.061,0.246,7.8,2.1,10.0
Lorenzo Brown,2013,MIN,52,NC State,PG,77.25,79.0,189,22.81,"Aug 26, 1990",USA,33.0,34.2,4.5,10.7,0.419,0.6,2.4,0.263,3.4,4.5,0.771,4.6,7.6,0.6,2.1,3.6,2.1,13.0,0.509,0.449,0.228,0.419,22.8,1.61,2.1,19.9,0.081,0.046,0.128,3.5,2.0,5.5
Colton Iverson,2013,BOS,53,Colorado State,C,84.0,86.0,263,23.88,"Jul 29, 1989",USA,35.0,29.5,6.4,10.7,0.596,0.0,0.0,0.0,4.6,7.7,0.59,11.9,1.6,0.9,0.7,2.4,3.2,17.3,0.602,0.596,0.0,0.723,23.8,0.42,0.67,27.4,0.151,0.07,0.221,6.4,1.5,7.9
Arsalan Kazemi,2013,PHI,54,Oregon,PF,79.0,,226,23.15,"Apr 22, 1990",Iran,35.0,29.0,4.0,6.7,0.595,0.0,0.0,0.0,3.6,5.4,0.675,12.4,1.7,0.8,2.5,1.8,2.3,11.6,0.627,0.595,0.005,0.795,15.2,0.61,0.92,24.4,0.106,0.118,0.224,5.3,5.4,10.8
Joffrey Lauvergne,2013,DEN,55,Partizan Belgrade (Serbia),C,83.0,,235,21.71,"Sep 30, 1991",France,21.0,14.7,5.8,11.5,0.51,0.9,2.0,0.471,3.5,4.8,0.732,9.2,1.3,0.5,0.6,2.3,5.6,16.1,0.587,0.551,0.173,0.418,,,0.55,,,,,,,
Peyton Siva,2013,DET,56,Louisville,PG,73.0,75.0,181,22.65,"Oct 24, 1990",USA,40.0,31.2,4.0,9.9,0.404,1.1,3.8,0.288,2.5,2.8,0.867,2.7,6.6,0.2,2.6,3.1,3.0,11.6,0.513,0.459,0.384,0.285,20.0,1.72,2.15,17.5,0.074,0.096,0.17,2.6,4.7,7.3
Alex Oriakhi,2013,PHX,57,Missouri,PF,81.0,,250,22.99,"Jun 21, 1990",USA,34.0,25.8,5.7,8.9,0.639,0.0,0.0,0.0,4.3,5.8,0.746,11.7,0.5,2.2,0.8,1.9,3.2,15.7,0.674,0.639,0.0,0.657,18.5,0.14,0.26,27.2,0.155,0.073,0.232,5.7,2.7,8.4
Deshaun Thomas,2013,SA,58,Ohio State,SF,79.0,82.0,220,21.8,"Aug 29, 1991",USA,37.0,35.4,7.1,16.0,0.444,2.0,5.7,0.344,3.9,4.6,0.834,6.1,1.3,0.3,0.5,1.4,1.5,20.1,0.551,0.506,0.358,0.29,29.1,0.3,0.92,24.2,0.147,0.061,0.211,7.9,1.1,9.0
Bojan Dubljević,2013,MIN,59,Valencia Basket (Spain),PF,81.0,,250,21.65,"Oct 24, 1991",Montenegro,49.0,20.7,7.7,14.8,0.522,1.7,3.7,0.448,4.6,5.5,0.832,7.0,1.0,0.6,1.1,3.3,4.6,21.7,0.622,0.578,0.251,0.371,,,0.3,,,,,,,
Janis Timma,2013,MEM,60,BK Ventspils (Latvia),SF,80.0,,220,20.96,"Jul 2, 1992",Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Wiggins,2014,CLE,1,Kansas,SF,80.0,,197,19.31,"Feb 23, 1995",Canada,35.0,32.8,5.9,13.2,0.448,1.3,4.0,0.341,5.5,7.1,0.775,6.4,1.7,1.1,1.3,2.5,2.9,18.7,0.563,0.499,0.299,0.538,26.3,0.35,0.68,21.4,0.111,0.059,0.171,5.7,2.6,8.3
Jabari Parker,2014,MIL,2,Duke,SF/PF,80.0,,241,19.26,"Mar 15, 1995",USA,35.0,30.7,7.9,16.7,0.473,1.3,3.6,0.358,5.4,7.2,0.748,10.3,1.4,1.4,1.2,2.7,2.8,22.5,0.558,0.511,0.212,0.429,32.7,0.26,0.51,28.4,0.134,0.071,0.205,6.6,1.0,7.6
Joel Embiid,2014,PHI,3,Kansas,C,84.0,,240,20.25,"Mar 16, 1994",Cameroon,28.0,23.1,6.0,9.5,0.626,0.1,0.3,0.2,5.5,8.0,0.685,12.6,2.1,4.0,1.4,3.7,5.2,17.4,0.655,0.629,0.029,0.836,23.4,0.49,0.58,28.2,0.111,0.105,0.21,5.0,6.9,11.9
Aaron Gordon,2014,ORL,4,Arizona,PF/SF,80.75,83.75,220,18.75,"Sep 16, 1995",,38.0,31.2,5.7,11.6,0.495,0.5,1.4,0.356,2.3,5.5,0.422,9.2,2.3,1.2,1.0,1.7,2.7,14.3,0.503,0.516,0.118,0.471,23.2,0.56,1.36,20.4,0.071,0.111,0.182,3.7,4.7,8.4
Dante Exum,2014,UTA,5,Aus. Institute of Sport,PG,78.0,81.5,196,18.93,"Jul 13, 1995",Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Smart,2014,BOS,6,Oklahoma State,PG,75.25,81.25,227,20.28,"Mar 6, 1994",,31.0,32.7,5.8,13.7,0.422,1.7,5.8,0.299,6.5,8.9,0.728,6.5,5.3,0.6,3.2,2.9,3.2,19.8,0.552,0.486,0.425,0.648,29.2,1.03,1.8,26.9,0.122,0.099,0.221,6.5,5.5,12.0
Julius Randle,2014,LAL,7,Kentucky,PF,81.0,84.0,250,19.55,"Nov 29, 1994",,40.0,30.8,5.7,11.4,0.501,0.1,0.5,0.167,6.0,8.4,0.706,12.1,1.7,0.9,0.6,2.9,2.7,17.5,0.567,0.505,0.046,0.739,25.4,0.39,0.56,24.5,0.114,0.078,0.191,5.4,2.1,7.5
Nik Stauskas,2014,SAC,8,Michigan,SG,78.5,79.75,207,20.69,"Oct 7, 1993",,36.0,35.6,5.2,11.1,0.47,2.6,5.8,0.442,4.7,5.7,0.824,3.0,3.3,0.3,0.6,1.9,1.3,17.7,0.642,0.586,0.528,0.518,24.4,0.77,1.76,22.7,0.156,0.034,0.194,8.4,0.9,9.3
Noah Vonleh,2014,CHA,9,Indiana,PF,81.5,88.25,247,18.81,"Aug 24, 1995",,30.0,26.5,5.1,9.8,0.523,0.7,1.5,0.485,4.4,6.1,0.716,12.2,0.8,1.9,1.2,2.9,3.7,15.3,0.604,0.56,0.153,0.62,21.4,0.23,0.28,22.2,0.081,0.101,0.181,2.9,3.7,6.6
Elfrid Payton,2014,ORL,10,Louisiana,PG,75.75,80.0,185,20.32,"Feb 22, 1994",,35.0,35.9,6.8,13.3,0.509,0.4,1.5,0.259,5.3,8.6,0.609,6.0,6.0,0.6,2.3,3.6,2.4,19.2,0.551,0.524,0.116,0.648,27.6,1.19,1.64,25.2,0.118,0.06,0.178,5.1,1.7,6.8
Doug McDermott,2014,CHI,11,Creighton,SF,79.75,81.25,218,22.45,"Jan 3, 1992",,35.0,33.7,10.1,19.1,0.526,2.9,6.5,0.449,5.4,6.3,0.864,7.4,1.7,0.2,0.2,1.9,2.0,28.5,0.644,0.603,0.341,0.329,36.2,0.32,0.89,32.8,0.213,0.047,0.261,11.4,-0.5,10.9
Dario Saric,2014,PHI,12,Cibona (Croatia),PF,82.0,,220,20.19,"Apr 8, 1994",Croatia,6.0,26.2,6.0,11.9,0.5,1.1,3.4,0.333,3.0,3.2,0.929,9.2,3.2,0.5,2.3,3.0,4.8,16.1,0.597,0.548,0.288,0.269,,,1.08,,,,,,,
Zach LaVine,2014,MIN,13,UCLA,SG,77.75,80.25,181,19.27,"Mar 10, 1995",,37.0,24.4,5.1,11.5,0.441,1.9,5.1,0.375,1.9,2.7,0.691,3.7,2.6,0.2,1.3,1.7,2.9,13.9,0.545,0.524,0.444,0.236,20.1,0.63,1.57,14.6,0.062,0.053,0.111,1.7,1.2,2.9
T.J. Warren,2014,PHX,14,NC State,SF,80.25,82.25,220,20.78,"Sep 5, 1993",,35.0,35.4,9.9,19.0,0.525,0.9,3.4,0.267,4.5,6.6,0.69,7.3,1.2,0.6,1.8,2.4,2.8,25.3,0.574,0.548,0.178,0.347,35.5,0.24,0.48,31.3,0.152,0.055,0.21,9.2,1.6,10.8
Adreian Payne,2014,ATL,15,Michigan State,PF,81.75,88.0,239,23.32,"Feb 19, 1991",,31.0,28.1,7.4,14.6,0.503,1.8,4.3,0.423,4.5,5.7,0.79,9.3,1.7,1.2,0.6,2.6,3.3,21.1,0.607,0.565,0.294,0.39,28.9,0.35,0.65,25.1,0.124,0.078,0.198,5.5,2.0,7.5
Jusuf Nurkić,2014,DEN,16,Cedevita Zagreb (Croatia),C,84.0,,275,19.82,"Aug 23, 1994",Bosnia and Herzegovina,15.0,15.4,7.5,12.8,0.585,0.2,0.3,0.5,5.6,7.9,0.706,7.8,1.4,3.0,1.6,5.3,8.1,20.7,0.626,0.591,0.024,0.622,,,0.26,,,,,,,
James Young,2014,BOS,17,Kentucky,SG,78.75,84.0,213,18.84,"Aug 16, 1995",,40.0,32.4,5.1,12.5,0.407,2.3,6.5,0.349,3.5,4.9,0.706,4.8,1.9,0.2,0.8,2.1,2.3,15.9,0.536,0.498,0.522,0.393,23.4,0.46,0.89,16.6,0.093,0.052,0.145,4.2,1.9,6.1
Tyler Ennis,2014,PHX,18,Syracuse,PG,74.5,79.25,182,19.81,"Aug 24, 1994",Canada,34.0,35.7,4.4,10.7,0.411,0.9,2.5,0.353,3.4,4.4,0.765,3.4,5.5,0.2,2.1,1.7,2.0,13.0,0.511,0.453,0.236,0.414,21.9,1.47,3.22,21.3,0.105,0.072,0.181,4.8,3.9,8.7
Gary Harris,2014,DEN,19,Michigan State,SG,76.5,78.75,205,19.76,"Sep 14, 1994",,35.0,32.3,6.2,14.5,0.429,2.6,7.3,0.352,3.7,4.5,0.81,4.5,3.0,0.5,2.0,1.9,2.3,18.7,0.561,0.518,0.505,0.312,26.8,0.63,1.57,22.5,0.117,0.071,0.187,6.6,3.7,10.3
Bruno Caboclo,2014,TOR,20,Pinheiros Basquete (Brazil),SF,81.0,,200,18.74,"Sep 21, 1995",Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitch McGary,2014,OKC,21,Michigan,PF,82.0,,255,22.03,"Jun 6, 1992",,8.0,24.8,5.5,10.0,0.545,0.0,0.4,0.0,2.9,4.4,0.667,12.0,2.2,1.1,2.7,2.4,4.5,13.8,0.572,0.545,0.036,0.436,22.5,0.56,0.92,26.2,0.101,0.101,0.202,3.7,4.9,8.6
Jordan Adams,2014,MEM,22,UCLA,SG,76.75,82.0,209,19.94,"Jul 8, 1994",,36.0,30.1,6.9,14.3,0.485,1.7,4.9,0.356,5.3,6.3,0.836,6.4,2.8,0.2,3.2,1.8,2.6,20.8,0.603,0.545,0.34,0.441,26.5,0.55,1.56,28.3,0.155,0.081,0.237,7.4,4.1,11.5
Rodney Hood,2014,UTA,23,Duke,SG,80.5,80.5,208,21.66,"Oct 20, 1992",,35.0,32.9,6.0,12.9,0.464,2.2,5.3,0.42,3.4,4.2,0.807,4.3,2.3,0.3,0.8,1.7,2.8,17.6,0.59,0.55,0.41,0.328,23.8,0.55,1.39,20.1,0.125,0.042,0.17,6.3,0.9,7.2
Shabazz Napier,2014,MIA,24,UConn,PG,73.0,75.25,175,22.93,"Jul 14, 1991",,40.0,35.1,5.5,12.7,0.429,2.2,5.5,0.405,5.3,6.1,0.87,6.0,5.0,0.3,1.9,2.9,2.2,18.5,0.591,0.517,0.433,0.48,27.5,1.12,1.71,25.5,0.14,0.088,0.225,7.5,4.5,12.0
Clint Capela,2014,HOU,25,Élan Chalon (France),C,82.0,,240,20.08,"May 18, 1994",Switzerland,40.0,21.2,7.5,11.1,0.679,0.0,0.0,0.0,2.2,4.0,0.553,12.1,1.7,2.6,1.0,2.6,3.8,17.3,0.665,0.679,0.004,0.359,,,0.64,,,,,,,
P.J. Hairston,2014,CHA,26,Texas Legends,SG,77.25,81.0,229,21.48,"Dec 24, 1992",USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bogdan Bogdanović,2014,PHX,27,Partizan (Serbia),SG,78.0,,205,21.83,"Aug 18, 1992",Serbia,9.0,26.9,5.8,12.3,0.47,2.4,6.7,0.356,2.1,2.7,0.778,3.3,3.4,0.6,1.0,1.9,3.3,16.1,0.59,0.566,0.542,0.217,,,1.77,,,,,,,
C.J. Wilcox,2014,LAC,28,Washington,SG,77.0,81.75,201,23.46,"Dec 30, 1990",,32.0,34.9,6.4,14.0,0.453,2.9,7.4,0.391,3.3,3.8,0.873,3.8,2.6,1.0,1.0,1.7,2.4,18.9,0.598,0.556,0.529,0.271,24.6,0.63,1.5,22.0,0.129,0.032,0.158,7.4,1.0,8.4
Josh Huestis,2014,OKC,29,Stanford,SF/PF,79.0,,230,22.49,"Dec 19, 1991",,36.0,35.2,4.4,9.8,0.451,0.7,2.2,0.338,1.8,2.9,0.627,8.4,1.2,2.0,0.6,1.2,2.2,11.4,0.51,0.488,0.223,0.295,18.0,0.38,1.0,17.3,0.06,0.066,0.126,2.8,2.5,5.3
Kyle Anderson,2014,SA,30,UCLA,SF,80.5,86.75,230,20.74,"Sep 20, 1993",,36.0,33.2,5.4,11.3,0.48,0.8,1.7,0.483,4.1,5.6,0.737,9.5,7.0,0.8,1.9,3.3,1.8,15.9,0.566,0.517,0.154,0.493,24.1,1.42,2.12,24.7,0.104,0.087,0.187,6.3,4.5,10.9
Damien Inglis,2014,MIL,31,Chorale Roanne (France),PF/SF,80.0,,240,19.08,"May 20, 1995",France,27.0,15.3,3.9,8.0,0.495,1.0,2.7,0.387,1.8,2.5,0.724,8.4,2.4,0.3,1.4,2.8,2.8,10.7,0.587,0.56,0.341,0.319,,,0.84,,,,,,,
K.J. McDaniels,2014,PHI,32,Clemson,SF,78.0,83.25,196,21.35,"Feb 9, 1993",,36.0,33.7,6.2,13.5,0.459,1.2,4.1,0.304,4.6,5.4,0.842,7.6,1.7,3.0,1.2,2.5,2.4,18.2,0.566,0.505,0.303,0.402,29.1,0.44,0.69,28.4,0.119,0.102,0.221,7.4,5.6,12.9
Joe Harris,2014,CLE,33,Virginia,SG,78.25,78.0,215,22.78,"Sep 6, 1991",,37.0,28.8,5.0,11.4,0.441,2.4,6.1,0.4,2.5,3.8,0.64,3.7,2.8,0.3,1.2,1.6,3.0,15.0,0.565,0.547,0.533,0.337,23.3,0.78,1.75,18.7,0.098,0.09,0.188,4.5,4.1,8.6
Cleanthony Early,2014,NY,34,Wichita State,SF,79.25,82.75,209,23.17,"Apr 17, 1991",,36.0,27.4,6.8,14.1,0.484,2.4,6.5,0.373,5.5,6.5,0.844,7.8,1.0,1.0,1.1,2.6,3.0,21.6,0.627,0.57,0.459,0.464,28.8,0.22,0.39,26.5,0.146,0.101,0.247,6.4,2.6,9.0
Jarnell Stokes,2014,MEM,35,Tennessee,PF,80.5,85.25,263,20.44,"Jan 7, 1994",,37.0,32.4,6.0,11.3,0.531,0.0,0.0,0.0,4.8,6.9,0.696,11.8,2.3,1.0,0.8,2.3,2.2,16.8,0.576,0.531,0.0,0.613,24.6,0.56,0.97,27.6,0.14,0.087,0.227,7.1,2.4,9.5
Johnny O'Bryant,2014,MIL,36,LSU,PF,80.5,86.25,257,21.04,"Jun 1, 1993",,34.0,30.0,7.1,14.4,0.494,0.0,0.1,0.333,4.2,6.6,0.634,9.2,1.9,1.1,0.6,3.8,3.8,18.5,0.526,0.495,0.007,0.455,28.5,0.4,0.51,18.7,0.047,0.059,0.106,1.1,0.2,1.3
DeAndre Daniels,2014,TOR,37,UConn,SF,80.5,86.0,196,22.17,"Apr 15, 1992",,38.0,29.0,6.1,13.1,0.469,1.6,3.9,0.417,2.3,2.9,0.787,7.4,0.6,1.8,0.8,1.8,2.9,16.2,0.559,0.531,0.299,0.222,24.2,0.15,0.3,20.0,0.076,0.087,0.16,3.1,2.5,5.6
Spencer Dinwiddie,2014,DET,38,Colorado,PG,78.0,80.25,205,21.2,"Apr 6, 1993",,17.0,31.1,4.2,8.9,0.466,1.8,4.3,0.413,6.9,8.1,0.857,3.5,4.4,0.3,1.8,2.0,2.2,17.0,0.667,0.565,0.481,0.908,21.0,1.25,2.13,24.8,0.166,0.06,0.234,6.2,3.9,10.1
Jerami Grant,2014,PHI,39,Syracuse,SF/PF,79.75,86.75,214,20.27,"Mar 12, 1994",,32.0,31.4,4.8,9.6,0.496,0.0,0.2,0.0,4.3,6.4,0.674,7.8,1.6,0.6,0.9,1.3,2.7,13.8,0.547,0.496,0.019,0.664,21.1,0.45,1.19,21.6,0.111,0.076,0.183,4.0,2.4,6.4
Glenn Robinson III,2014,MIN,40,Michigan,SF,78.75,82.0,211,20.44,"Jan 8, 1994",,37.0,32.3,5.5,11.2,0.488,1.0,3.3,0.306,2.6,3.5,0.757,4.9,1.3,0.3,1.1,1.4,1.7,14.6,0.566,0.532,0.29,0.308,22.3,0.34,0.96,18.9,0.094,0.047,0.141,4.2,1.2,5.3
Nikola Jokić,2014,DEN,41,KK Mega Basket (Serbia),C,84.0,,250,19.32,"Feb 19, 1995",Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Johnson,2014,HOU,42,Arizona,PG/SG,75.0,79.25,198,21.48,"Dec 22, 1992",,38.0,33.1,5.9,13.6,0.432,1.8,4.8,0.367,4.2,5.4,0.781,4.4,3.1,0.7,1.2,1.8,2.2,17.7,0.549,0.498,0.357,0.395,26.3,0.67,1.67,21.5,0.115,0.099,0.213,5.8,4.9,10.7
Walter Tavares,2014,ATL,43,CB Gran Canaria (Spain),C,87.0,,265,22.24,"Mar 22, 1992",Cape Verde,32.0,20.8,4.2,7.1,0.591,0.0,0.1,0.0,1.9,2.6,0.714,11.4,0.4,2.8,0.9,1.4,4.6,10.3,0.615,0.591,0.008,0.371,,,0.31,,,,,,,
Markel Brown,2014,BKN,44,Oklahoma State,SG,75.5,80.75,184,22.38,"Jan 29, 1992",,34.0,35.3,5.7,12.0,0.473,1.6,4.3,0.379,4.5,5.8,0.768,5.4,3.0,1.0,1.0,1.6,2.6,17.5,0.591,0.541,0.361,0.483,23.1,0.73,1.8,22.0,0.123,0.067,0.19,6.3,2.7,8.9
Dwight Powell,2014,CHA,45,Stanford,PF,83.0,84.5,234,22.91,"Jul 20, 1991",,36.0,32.4,5.4,11.7,0.462,0.3,1.2,0.256,4.5,6.5,0.687,7.6,3.5,0.9,1.4,3.2,3.5,15.6,0.527,0.475,0.103,0.557,26.0,0.78,1.08,19.7,0.062,0.069,0.13,2.7,3.0,5.7
Jordan Clarkson,2014,LAL,46,Missouri,PG,77.0,80.0,186,21.95,"Jul 7, 1992",,35.0,35.1,6.1,13.7,0.448,0.9,3.3,0.281,4.7,5.7,0.831,3.9,3.5,0.2,1.1,2.7,2.2,17.9,0.547,0.482,0.244,0.418,27.9,0.84,1.27,20.2,0.104,0.039,0.143,3.8,0.5,4.3
